,City,Cnty,Station_Id_C,Province,Station_levl,Station_Name,Town,Alti,Lat,Lon,wind,WIN_S_Gust_Max,WIN_D_Gust_Max,value
167,台州市,温岭市,K8464,浙江省,14,滨海中学,滨海镇,10.0,28.4683,121.5203,45005.0,4.5,5,4.5
168,台州市,温岭市,K8465,浙江省,14,长屿小学,新河镇,6.0,28.4511,121.4406,31348.0,3.1,348,3.1
169,台州市,温岭市,K8466,浙江省,14,青屿校区,温峤镇,30.0,28.3636,121.2439,82064.0,8.2,64,8.2
170,台州市,温岭市,K8477,浙江省,14,紫荆校区,箬横镇,3.0,28.405,121.6108,70028.0,7.0,28,7.0
171,台州市,温岭市,K8486,浙江省,14,礁山渔港,松门镇,8.0,28.3647,121.6156,80034.0,8.0,34,8.0
172,台州市,温岭市,K8487,浙江省,14,一蒜岛,石塘镇,73.0,28.2144,121.6619,141022.0,14.1,22,14.1
173,台州市,温岭市,K8488,浙江省,14,洛屿岛,石塘镇,35.0,28.2717,121.7308,129052.0,12.9,52,12.9
174,台州市,温岭市,K8489,浙江省,14,龟屿岛,松门镇,28.0,28.4069,121.7161,87051.0,8.7,51,8.7
175,台州市,玉环市,K8501,浙江省,14,清港,清港镇,18.0,28.2569,121.2867,65060.0,6.5,60,6.5
176,台州市,玉环市,K8502,浙江省,14,干江,干江镇,145.0,28.1664,121.3717,83025.0,8.3,25,8.3
177,台州市,玉环市,K8503,浙江省,14,沙门,沙门镇,18.0,28.2439,121.3803,80162.0,8.0,162,8.0
178,台州市,玉环市,K8504,浙江省,14,海山,海山乡,2.0,28.21,121.1575,84024.0,8.4,24,8.4
179,台州市,玉环市,K8505,浙江省,14,玉城,玉城街道,6.0,28.1256,121.2369,30327.0,3.0,327,3.0
180,台州市,玉环市,K8506,浙江省,14,大鹿岛,鸡山乡,30.0,28.0922,121.4039,112033.0,11.2,33,11.2
181,台州市,玉环市,K8507,浙江省,14,鲜迭,大麦屿街道,280.0,28.0917,121.2042,70013.0,7.0,13,7.0
182,台州市,玉环市,K8510,浙江省,14,花岩浦,龙溪乡,48.0,28.1961,121.3092,70014.0,7.0,14,7.0
183,台州市,玉环市,K8511,浙江省,14,芦浦,芦浦镇,98.0,28.1983,121.2414,74050.0,7.4,50,7.4
184,台州市,玉环市,K8512,浙江省,14,楚门,楚门镇,25.0,28.2169,121.3014,56044.0,5.6,44,5.6
185,台州市,玉环市,K8513,浙江省,14,鸡山,鸡山乡,59.0,28.1061,121.3642,89044.0,8.9,44,8.9
186,台州市,玉环市,K8517,浙江省,14,大麦屿,大麦屿街道,18.0,28.1031,121.1358,89043.0,8.9,43,8.9
187,台州市,玉环市,K8518,浙江省,14,龙溪樱桃,龙溪乡,26.0,28.2089,121.3289,44023.0,4.4,23,4.4
188,台州市,玉环市,K8521,浙江省,14,大雷山,清港镇,332.0,28.3153,121.3458,97015.0,9.7,15,9.7
189,台州市,玉环市,K8522,浙江省,14,分水山,芦浦镇,4.0,28.195,121.2103,45107.0,4.5,107,4.5
190,台州市,玉环市,K8527,浙江省,14,雕鹰山,大麦屿街道,238.0,28.1192,121.1981,104051.0,10.4,51,10.4
191,台州市,玉环市,K8528,浙江省,14,乐清湾二桥,海山乡,40.0,28.2425,121.1392,85052.0,8.5,52,8.5
192,台州市,玉环市,K8530,浙江省,14,吊船湾,沙门镇,3.0,28.2222,121.3753,72034.0,7.2,34,7.2
193,台州市,玉环市,K8544,浙江省,14,大圆头,沙门镇,140.0,28.2419,121.4161,80037.0,8.0,37,8.0
194,台州市,玉环市,K8545,浙江省,14,大岩头,大麦屿街道,236.0,28.0467,121.1631,115086.0,11.5,86,11.5
195,台州市,玉环市,K8546,浙江省,14,中鹿岛,鸡山乡,90.0,28.0569,121.4106,120028.0,12.0,28,12.0
196,台州市,玉环市,K8549,浙江省,14,江岩村,玉城街道,136.0,28.1733,121.1492,90046.0,9.0,46,9.0
197,台州市,玉环市,K8550,浙江省,14,黄门,坎门街道,169.0,28.07,121.2361,106004.0,10.6,4,10.6
198,台州市,玉环市,K8556,浙江省,14,苔山塘,清港镇,13.0,28.2742,121.2564,38028.0,3.8,28,3.8
199,台州市,玉环市,K8557,浙江省,14,坎门污水,坎门街道,5.0,28.1092,121.2956,84007.0,8.4,7,8.4
200,台州市,玉环市,K8558,浙江省,14,垟根村,清港镇,7.0,28.2631,121.3233,41076.0,4.1,76,4.1
201,台州市,玉环市,K8560,浙江省,14,城中村,玉城街道,4.0,28.1625,121.2331,57066.0,5.7,66,5.7
202,台州市,玉环市,K8565,浙江省,14,灵门渔港,沙门镇,32.0,28.2322,121.4056,69051.0,6.9,51,6.9
203,台州市,玉环市,K8566,浙江省,14,栈台渔港,干江镇,48.0,28.1408,121.3567,75036.0,7.5,36,7.5
204,台州市,临海市,K8601,浙江省,14,杜桥,杜桥镇,7.0,28.7667,121.4869,23355.0,2.3,355,2.3
205,台州市,临海市,K8602,浙江省,14,涌泉,涌泉镇,8.0,28.7569,121.3186,42062.0,4.2,62,4.2
206,台州市,临海市,K8603,浙江省,14,白水洋,白水洋镇,41.0,28.8992,120.9047,30022.0,3.0,22,3.0
207,台州市,临海市,K8604,浙江省,14,东塍,东塍镇,39.0,28.9286,121.2622,30043.0,3.0,43,3.0
208,台州市,临海市,K8605,浙江省,14,河头,河头镇,47.0,29.0006,121.1142,42134.0,4.2,134,4.2
209,台州市,临海市,K8606,浙江省,14,尤溪,尤溪镇,17.0,28.7425,121.1011,29303.0,2.9,303,2.9
210,台州市,临海市,K8607,浙江省,14,汛桥,汛桥镇,11.0,28.795,121.1706,14097.0,1.4,97,1.4
211,台州市,临海市,K8608,浙江省,14,牛头山,邵家渡街道,14.0,28.84,121.2647,16312.0,1.6,312,1.6
212,台州市,临海市,K8609,浙江省,16,小芝,小芝镇,82.0,28.8522,121.4519,26015.0,2.6,15,2.6
213,台州市,临海市,K8610,浙江省,14,南门坑,桃渚镇,13.0,28.8372,121.6631,44274.0,4.4,274,4.4
214,台州市,临海市,K8611,浙江省,16,白沙,上盘镇,37.0,28.7128,121.6378,49355.0,4.9,355,4.9
215,台州市,临海市,K8614,浙江省,14,汇溪,汇溪镇,58.3,28.9578,121.2131,7353.0,0.7,353,0.7
216,台州市,临海市,K8615,浙江省,14,江南,江南街道,11.0,28.7844,121.1203,27333.0,2.7,333,2.7
217,台州市,临海市,K8616,浙江省,14,沿江,沿江镇,9.0,28.7461,121.2358,23342.0,2.3,342,2.3
218,台州市,临海市,K8617,浙江省,14,大田,大田镇,8.0,28.9044,121.2022,28348.0,2.8,348,2.8
219,台州市,临海市,K8618,浙江省,14,永丰,永丰镇,13.0,28.8731,121.0228,16033.0,1.6,33,1.6
