,Unnamed: 0,IIiii,StationName,ItemList,IP,NNnn,EEEee,lon,lat,Height,H_Gnd,ZoomLevel,Selected,Province,City,County,Town,Village,Country,Address0,Type,Note,Address,TZAir,ShareF,Property,Index0
91,91,K8203,沙埠,TRF,255.0.0.0,2833,12110,121.1744,28.54806,450,450,16,False,浙江,台州,黄岩区,沙埠镇,,黄岩区,黄岩区沙埠镇横溪村佛岭水库,区域站,中尺度,-         ,0.0,SHARED_VER,"高速,YN",
92,92,K8204,长潭,TRF,255.0.0.0,2836,12103,121.0614,28.61028,280,280,16,False,浙江,台州,黄岩区,北洋镇,,黄岩区,黄岩区北洋镇长潭村长潭水库管理局,区域站,中尺度,-         ,0.0,SHARED_VER,"山区,YN,CT",
93,93,K8205,头陀,PTURFV,255.0.0.0,2840,12107,121.1369,28.67417,200,200,8,False,浙江,台州,黄岩区,头陀镇,,黄岩区,黄岩区头陀镇溪东村(平原),区域站,中尺度,-         ,1.0,SHARED_VER,"茭白,YN",R
94,94,K8206,富山,PTURF,255.0.0.0,2832,12055,120.9131,28.53583,7110,7100,12,False,浙江,台州,黄岩区,富山乡,,黄岩区,黄岩区富山乡安山村马鞍山(山地),区域站,中尺度,-         ,1.0,SHARED_VER,"高山,CT",R
95,95,K8207,白石,TRF,255.0.0.0,2841,12056,120.9375,28.67444,7600,7600,8,False,浙江,台州,黄岩区,屿头乡,,黄岩区,黄岩区屿头乡白石村(山地),区域站,中尺度,-         ,0.0,SHARED_VER,"高山,CT",R
96,96,K8208,屿头,PTURF,255.0.0.0,2839,12100,121.01093,28.65211,1600,1600,12,False,浙江,台州,黄岩区,屿头乡,,黄岩区,黄岩区屿头乡上凤村(丘陵),区域站,中尺度,-         ,1.0,SHARED_VER,"山区,CT",RF
97,97,K8209,上郑,TRF,255.0.0.0,2836,12052,120.8744,28.60583,2570,2560,16,False,浙江,台州,黄岩区,上郑乡,,黄岩区,黄岩区上郑乡下余村(丘陵),区域站,中尺度,-         ,0.0,SHARED_VER,"山区,CT",RF
98,98,K8210,上垟,PTURFV,255.0.0.0,2831,12101,121.008268,28.515366,800,800,16,False,浙江,台州,黄岩区,上垟乡,,黄岩区,黄岩区上垟乡上垟村(丘陵),区域站,中尺度,-         ,0.0,SHARED_VER,"山区,CT",RF
99,99,K8212,江口,PTURF,255.0.0.0,2841,12119,121.3275,28.6903,70,70,16,False,浙江,台州,黄岩区,江口街道,,黄岩区,黄岩区江口街道上辇村永宁江闸(平原),区域站,中尺度,-         ,0.0,SHARED_VER,"东槐杨梅铁路,YN",
100,100,K8213,院桥,PTURF,255.0.0.0,2833,12116,121.2781,28.54972,110,110,16,False,浙江,台州,黄岩区,院桥镇,,黄岩区,黄岩区院桥镇鸡笼山村鸡山(平原),区域站,中尺度,-         ,0.0,SHARED_VER,"西红柿高速,YN",R
