,StationName,county,Town,lat,lon,IIiii,tTime,dFy,fFy,T,Tx,Tn,VV,RR
164,洪家,椒江区,洪家街道,28.61806,121.41639,58665,2022-01-23 21:00:00,302,41,123,125,123,7440,2
165,大陈,椒江区,大陈镇,28.446,121.90333,58666,2022-01-23 21:00:00,351,146,116,117,115,16813,0
166,坎门,玉环市,坎门街道,28.0775,121.27083,58667,2022-01-23 21:00:00,343,120,131,133,131,30000,0
167,洪家,椒江区,洪家街道,28.61806,121.41639,58665,2022-01-23 22:00:00,302,44,120,123,120,6336,1
168,大陈,椒江区,大陈镇,28.446,121.90333,58666,2022-01-23 22:00:00,13,180,114,117,114,7971,1
169,坎门,玉环市,坎门街道,28.0775,121.27083,58667,2022-01-23 22:00:00,343,123,128,131,128,30000,0
170,洪家,椒江区,洪家街道,28.61806,121.41639,58665,2022-01-23 23:00:00,309,37,122,122,120,16177,1
171,大陈,椒江区,大陈镇,28.446,121.90333,58666,2022-01-23 23:00:00,14,179,111,114,111,14962,0
172,坎门,玉环市,坎门街道,28.0775,121.27083,58667,2022-01-23 23:00:00,346,100,126,128,126,30000,0
173,洪家,椒江区,洪家街道,28.61806,121.41639,58665,2022-01-24 00:00:00,280,30,124,124,122,13802,0
174,大陈,椒江区,大陈镇,28.446,121.90333,58666,2022-01-24 00:00:00,11,189,110,111,110,6029,0
175,坎门,玉环市,坎门街道,28.0775,121.27083,58667,2022-01-24 00:00:00,6,86,126,126,125,30000,0
176,洪家,椒江区,洪家街道,28.61806,121.41639,58665,2022-01-24 01:00:00,332,40,119,124,119,5330,0
177,大陈,椒江区,大陈镇,28.446,121.90333,58666,2022-01-24 01:00:00,15,172,110,111,110,22059,0
178,坎门,玉环市,坎门街道,28.0775,121.27083,58667,2022-01-24 01:00:00,345,94,122,125,122,30000,0
179,洪家,椒江区,洪家街道,28.61806,121.41639,58665,2022-01-24 02:00:00,291,34,118,118,117,9196,0
180,大陈,椒江区,大陈镇,28.446,121.90333,58666,2022-01-24 02:00:00,11,170,109,110,109,21794,0
181,坎门,玉环市,坎门街道,28.0775,121.27083,58667,2022-01-24 02:00:00,345,97,119,122,119,26627,0
182,洪家,椒江区,洪家街道,28.61806,121.41639,58665,2022-01-24 03:00:00,311,31,117,118,117,11256,0
