,StationName,lat,lon,IIiii
517,大荆水叠湖,28.45,121.19,K3443
518,仙溪联红,28.43,120.98,K3444
519,大荆平园,28.44,121.11,K3445
520,柳市里隆,28,120.89,K3446
521,淡溪硐垟,28.25,120.93,K3447
522,北白象印屿,28.06,120.81,K3448
523,平等,27.54,120.54,K3449
524,鹤顶山,27.32,120.43,K3450
525,官引,27.4,120.12,K3452
526,前坪,27.46,120.03,K3453
527,滨海博纳,27.67,120.67,K3458
528,麻步西岙,27.63,120.38,K3459
529,闹村静凉山,27.55,120.3,K3460
530,顺溪水库,27.57,120.17,K3461
531,马屿五云山,27.82,120.39,K3462
532,高楼宁安,27.83,120.26,K3463
533,莘塍四坦,27.76,120.71,K3464
534,珊溪南村,27.66,120.06,K3466
535,黄坦济下,27.74,120.04,K3467
536,娄桥龙舟基地,27.96,120.61,K3468
537,状元大岙溪,27.96,120.73,K3469
538,瓯江口北大桥,27.98,120.93,K3470
539,桥墩东山,27.52,120.26,K3472
540,沿浦东浦,27.23,120.46,K3473
541,灵溪渡龙,27.5,120.42,K3474
542,公阳驮尖,27.73,120.18,K3475
543,赤溪园林,27.33,120.49,K3476
544,沿浦大岵,27.24,120.47,K3477
545,赤溪新东,27.31,120.55,K3478
546,沿浦界牌,27.22,120.4,K3479
547,雁荡一中,28.35,121.14,K3480
548,柳市第十七小学,28.08,120.87,K3481
549,虹桥一小,28.21,121.05,K3482
550,淡溪玛瑙,28.2,120.91,K3483
551,岭底湖上垟,28.31,120.91,K3484
552,市乐成仰根,28.17,120.94,K3485
553,北岙三盘,27.87,121.16,K3486
554,山坪,27.98,121.19,K3487
555,奥体中心,27.92,120.8,K3488
556,峃口渡渎,27.74,120.12,K3489
557,峃口九山,27.77,120.16,K3490
558,双桂桂东,27.7,120.17,K3492
559,南麂铁塔,27.48,121.05,K3493
560,矾山埔坪,27.37,120.36,K3494
561,矾山宜矾,27.35,120.39,K3495
562,藻溪浦澳,27.47,120.45,K3496
563,望里北岙,27.49,120.5,K3497
564,新城达农业园,27.58,120.61,K3498
565,新城正大农业园,27.55,120.64,K3499
566,岩头中学,28.34,120.73,K3500
567,朱涂小学,28.15,120.49,K3501
568,平渔01,27.58333333,120.5833333,K3502
569,海巡07131,27.96666667,121.1833333,K3503
570,瑞安船舶,27.75,120.9,K3506
571,泽雅下良,27.99,120.42,K3507
572,朝阳,27.58333333,120.3666667,K3551
573,大罗山,27.9,120.75,K3552
574,北林垟,28,120.3833333,K3553
575,九峰,27.51666667,120.1,K3556
576,城北,28.16666667,120.9166667,K3557
577,望海楼,27.81666667,121.1,K3559
578,四海山,28.5,120.75,K3560
579,玉苍山,27.51666667,120.3,K3561
580,矾山,27.33333333,120.4,K3562
581,望洲山,27.48333333,120.6,K3563
582,桂峰,27.91666667,120.2666667,K3564
583,大南,27.71666667,120.4166667,K3565
584,吴垟,27.58333333,120.1166667,K3566
585,枫林,28.31666667,120.8,K3567
586,中堡,28.45,120.9333333,K3568
587,应坑,28.41666667,120.5166667,K3569
588,北雁荡,28.35,121.0833333,K3570
589,岭底,28.28333333,120.95,K3571
