,Cnty,Province,Town,Station_levl,Station_Name,City,Station_Id_C,Lat,Lon,Alti,PRE
170,衢江区,浙江省,后溪镇,14,大川村,衢州市,K7445,28.8139,118.7897,93.0,10.2
171,淮上区,安徽省,,14,淮上吴小街,蚌埠市,I2806,32.9747,117.4006,999999.0,0.0
172,安溪县,福建省,,14,仙荣村,泉州市,F5474,25.3689,117.9083,236.0,0.0
173,兰陵县,山东省,,14,兰陵磨山,临沂市,D5034,34.8044,118.1292,999999.0,0.0
174,政和县,福建省,,14,界溪水库,南平市,F9612,27.3986,118.6036,341.0,0.0
175,江阴市,江苏省,,14,新桥镇,无锡市,M3894,31.8164,120.4903,999999.0,0.0
176,安溪县,福建省,,12,安溪,泉州市,58929,25.0636,118.2069,131.6,0.0
177,泾县,安徽省,,14,泾县云岭章渡,宣城市,I7923,30.6011,118.2175,46.0,0.3
178,建湖县,江苏省,,14,上冈镇风华村,盐城市,M2503,33.6011,120.0072,999999.0,0.0
179,上城区,浙江省,采荷街道,14,杭州市民中心,杭州市,K1492,30.2486,120.2028,10.0,0.0
180,淳安县,浙江省,安阳乡,14,山下村,杭州市,K1382,29.4331,118.8522,118.0,0.0
181,淳安县,浙江省,威坪镇,14,邵宅村,杭州市,K1388,29.7761,118.7958,128.6,0.0
182,萧山区,浙江省,楼塔镇,14,大同一村,杭州市,K1035,29.8544,120.1067,174.0,0.2
183,新昌县,浙江省,沙溪镇,14,六合,绍兴市,K4925,29.5039,121.1917,287.0,0.5
184,椒江区,浙江省,下陈街道,14,海正育才小学,台州市,K8130,28.6131,121.4469,11.0,0.0
185,萧山区,浙江省,所前镇,14,越王村,杭州市,KA250,30.0933,120.3097,15.0,0.0
186,磐安县,浙江省,尚湖镇,14,尚湖岭干,金华市,K6252,29.0956,120.6472,566.0,2.9
187,嵊泗县,浙江省,菜园镇,14,马廊礁,舟山市,K9738,30.6692,122.48,81.0,0.0
188,新昌县,浙江省,沙溪镇,16,董村,绍兴市,K4804,29.4608,121.1264,143.8,0.1
189,淳安县,浙江省,千岛湖镇,14,云村燕山村,杭州市,K1563,29.6592,119.1122,627.0,0.0
190,萧山区,浙江省,义桥镇,14,田丰村,杭州市,K1226,30.0614,120.1628,13.0,0.2
191,萧山区,浙江省,浦阳镇,14,舜湖村,杭州市,K1626,29.9478,120.2481,5.0,0.3
192,龙游县,浙江省,溪口镇,16,溪口镇,衢州市,K7302,28.8489,119.17,154.3,2.7
193,鄞州区,浙江省,瞻岐镇,14,瞻岐中学,宁波市,K2422,29.7311,121.8194,23.0,0.0
194,磐安县,浙江省,尚湖镇,14,尚湖,金华市,K6082,29.1475,120.6558,562.0,0.0
195,建湖县,江苏省,,14,上冈镇洋中村,盐城市,M2500,33.6669,120.0336,999999.0,0.0
196,固始县,河南省,,14,徐集,信阳市,O8428,32.3956,115.8356,999999.0,0.0
197,衢江区,浙江省,举村乡,14,西坑村,衢州市,K7436,28.7111,118.98,732.0,9.1
198,鄞州区,浙江省,姜山镇,14,虎啸漕村,宁波市,K2478,29.7264,121.5,3.1,0.0
199,南湖区,浙江省,大桥镇,14,胥山村,嘉兴市,K5725,30.7606,120.8844,3.0,0.0
200,淳安县,浙江省,威坪镇,14,宅上村,杭州市,K1342,29.7281,118.7469,116.0,0.0
201,萧山区,浙江省,盈丰街道,14,亚运村,杭州市,K1188,30.2511,120.2344,11.0,0.0
202,安溪县,福建省,,14,金谷镇,泉州市,F5405,25.17,118.1019,999999.0,0.0
203,萧山区,浙江省,浦阳镇,14,灵山村,杭州市,KA263,29.9708,120.2258,9.0,0.2
204,萧山区,浙江省,宁围街道,14,宁东社区,杭州市,K1220,30.2172,120.2747,12.0,0.7
205,固始县,河南省,,14,汪棚,信阳市,O8423,32.1103,115.5944,999999.0,0.0
206,椒江区,浙江省,章安街道,14,柏树里,台州市,K8108,28.7303,121.4508,6.0,0.8
207,德兴市,江西省,,16,德兴张村,上饶市,J2123,28.8558,117.5775,77.9,0.1
208,广昌县,江西省,,14,广昌赤水,抚州市,J6085,26.7,116.3683,999999.0,0.0
209,兰陵县,山东省,,14,兰陵鲁城镇政府,临沂市,D5142,34.8831,117.7656,107.4,0.0
210,赣县,江西省,,14,赣县韩坊小坪,赣州市,J9210,25.6347,115.2003,688.2,0.0
211,瑞昌市,江西省,,14,瑞昌武蛟,九江市,J1104,29.7683,115.6236,999999.0,0.0
212,瓯海区,浙江省,三垟街道,14,三垟,温州市,K3258,27.9808,120.7131,0.0,0.0
213,颍州区,安徽省,,14,颍州鼓楼,阜阳市,I2210,32.9111,115.8153,31.8,0.0
214,赣县,江西省,,14,赣县江口,赣州市,J9219,25.9572,115.1367,999999.0,0.0
215,浠水县,湖北省,,14,浠水白莲河,黄冈市,Q9406,30.5947,115.4417,119.8,0.3
216,洪泽区,江苏省,,14,长深上行K1853应用（交通）,淮安市,M9451,33.4086,118.9306,999999.0,0.0
217,金湖县,江苏省,,14,银涂镇港中社区,淮安市,M4332,33.0667,119.3167,999999.0,0.0
218,江阴市,江苏省,,14,城东街道白屈港,无锡市,M3888,31.9386,120.3133,999999.0,0.0
219,椒江区,浙江省,章安街道,14,李宅,台州市,K8128,28.76,121.3928,45.0,4.0
220,沙县,福建省,,14,沙县大洛,三明市,F8631,26.2344,117.7994,999999.0,0.0
221,当涂县,安徽省,,14,芜马下行太白服务区应用（交通）,马鞍山市,I6157,31.4908,118.5214,999999.0,0.0
222,灵璧县,安徽省,,14,灵璧大庙,宿州市,I1659,33.7969,117.6911,999999.0,0.0
223,安远县,江西省,,14,安远双芫,赣州市,J9273,25.4858,115.3064,999999.0,0.0
224,广昌县,江西省,,16,广昌头陂,抚州市,J6081,26.7475,116.1947,165.5,0.0
225,上杭县,福建省,,14,上杭九洲村,龙岩市,F7424,25.0908,116.3869,999999.0,0.0
226,德兴市,江西省,,14,花桥小目源,上饶市,J2124,28.9392,117.7622,105.7,3.8
227,阜南县,安徽省,,14,阜南段郢,阜阳市,I2666,32.61,115.43,31.0,0.0
228,德兴市,江西省,,14,德铜五号坝下游,上饶市,J2129,29.0608,117.7803,70.3,0.0
229,泾县,安徽省,,14,宝峰,宣城市,I7906,30.5717,118.0661,96.0,0.1
230,椒江区,浙江省,章安街道,14,柑橘良种场,台州市,K8121,28.7361,121.3692,150.0,7.7
